uid,text_info
100235,1995 Conchita Martinez (Esp) d. Gabriela Sabatini (Arg) 6-1 6-4
100236,1996 Irina Spirlea (Rom) d. Mary Pierce (Fra) 6-7 6-4 6-3
100237,1997 Lindsay Davenport d. Mary Pierce (Fra) 6-2 6-3
100238,1998 Mary Pierce (Fra) d. Conchita Martinez (Esp) 6-7 6-0 6-2
100239,1999 Monica Seles d. Ruxandra Dragomir (Rom) 6-2 6-3
100240,2000 Monica Seles d. Conchita Martinez (Esp) 6-3 6-2
100241,2001 Amelie Mauresmo (Fra) d. Amanda Coetzer (SA) 6-4 7-5
100242,2002 Venus Williams d. Justine Henin (Bel) 2-6 7-5 7-6
100243,2003 Elena Dementieva (Rus) d. Lindsay Davenport 4-6 7-6 6-3
100244,2004 Lindsay Davenport d. Amelie Mauresmo (Fra) 6-4 6-4
100245,2005 Lindsay Davenport d. Silvia Farina Elia (Ita) 7-5 7-5
100246,2006 Nadia Petrova (Rus) d. Francesca Schiavone (Ita) 6-4 6-4
100247,2007 Tatiana Golovin (Fra) d. Nadia Petrova (Rus) 6-2 6-1
100248,2008 Maria Sharapova (Rus) d. Dominika Cibulkova (Svk) 7-6 6-3
100249,2009 Caroline Wozniacki (Den) d. Alexandra Wozniak (Can) 6-1 6-2
100250,2010 Caroline Wozniacki (Den) d. Olga Govortsova (Blr) 6-2 7-5
100251,1920 Aurea Farrington Edgington d. Louise Bull 9-7 6-4
100252,1921 Elizabeth Ryan (US) d. Phyllis Carr Satterthwaite 6-2 6-1
100253,1922 Elizabeth Ryan (US) d. Peggy Ingram 6-3 6-2
100254,1923 Phyllis Carr Satterthwaite d. Ariadne Rodocanachi 6-1 8-6
100255,1924 R. Armstrong d. Louise Bull 1-6 6-0 6-4
100256,1925 Phoebe Holcroft-Watson d. Eleanor Rose 6-3 6-4
100257,1926 Phoebe Holcroft Watson d. Kitty McKane Godfree 6-3 6-4
100258,1927 Phoebe Holcroft Watson d. Aurea Farrington Edgington 6-4 6-4
100259,1928 Margaret McKane Stocks d. Joyce Brown 6-4 6-0
100260,1929 Jenny Sandison (Ind) d. Dorothy Shaw Jameson 6-1 6-4
100261,1930 Margaret Walsh Mellows d. Geraldine Ramsey Beamish 6-3 6-2
100262,1931 Peggy Brazier d. Helen Ramsey Burr 7-5 6-2
